id,species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g/100
106,Adelie,41.5,18.5,201,40
107,Chinstrap,45.2,16.6,191,32.5
108,Gentoo,52.2,17.1,228,54
109,Gentoo,45.2,15.8,215,53
110,Chinstrap,50.1,17.9,190,34
111,Adelie,39.2,19.6,195,46.8
112,Chinstrap,42.5,16.7,187,33.5
113,Chinstrap,45.2,17.8,198,39.5
114,Adelie,39,18.7,185,36.5
115,Adelie,36,17.8,195,34.5
116,Chinstrap,52,18.1,201,40.5
117,Adelie,39.6,18.8,190,46
118,Gentoo,45.2,16.4,223,59.5
119,Gentoo,43.4,14.4,218,46
120,Gentoo,45.5,14.5,212,47.5
121,Gentoo,42.7,13.7,208,39.5
122,Gentoo,46.4,15.6,221,50
123,Gentoo,47.6,14.5,215,54
124,Chinstrap,46.4,18.6,190,34.5
125,Gentoo,46.8,14.3,215,48.5
126,Adelie,34.6,21.1,198,44
127,Adelie,41.1,18.2,192,40.5
128,Gentoo,43.6,13.9,217,49
129,Chinstrap,46.9,16.6,192,27
130,Chinstrap,46.4,17.8,191,37
131,Gentoo,45.1,14.5,207,50.5
132,Chinstrap,45.7,17,195,36.5
133,Gentoo,49.5,16.2,229,58
134,Gentoo,45.4,14.6,211,48
135,Gentoo,50.1,15,225,50
136,Gentoo,49.8,16.8,230,57
137,Gentoo,49.9,16.1,213,54
138,Gentoo,48.5,14.1,220,53
139,Gentoo,50.8,17.3,228,56
140,Chinstrap,45.7,17.3,193,36
141,Adelie,36,18.5,186,31
142,Gentoo,46.1,13.2,211,45
143,Chinstrap,46.2,17.5,187,36.5
144,Adelie,39.7,18.4,190,39
145,Chinstrap,48.5,17.5,191,34
146,Gentoo,45,15.4,220,50.5
147,Adelie,39.1,18.7,181,37.5
148,Gentoo,44.5,14.7,214,48.5
149,Adelie,34.5,18.1,187,29
150,Adelie,34.4,18.4,184,33.3
151,Chinstrap,52,19,197,41.5
152,Gentoo,49,16.1,216,55.5
153,Gentoo,55.9,17,228,56
154,Adelie,37.8,20,190,42.5
155,Gentoo,50.5,15.9,225,54
156,Adelie,35,17.9,190,34.5
157,Adelie,35,17.9,192,37.3
158,Adelie,42.2,18.5,180,35.5
159,Adelie,41.1,19,182,34.3
160,Adelie,37.6,19.3,181,33
161,Adelie,35.9,16.6,190,30.5
162,Gentoo,43.2,14.5,208,44.5
163,Adelie,39.3,20.6,190,36.5
164,Adelie,39,17.5,186,35.5
165,Adelie,38.6,17.2,199,37.5
166,Adelie,42.3,21.2,191,41.5
167,Gentoo,53.4,15.8,219,55
168,Adelie,36.6,18.4,184,34.8
169,Adelie,39.8,19.1,184,46.5
170,Chinstrap,47.6,18.3,195,38.5
171,Chinstrap,51.4,19,201,39.5
172,Gentoo,50.5,15.2,216,50
173,Gentoo,51.3,14.2,218,53
174,Gentoo,49.4,15.8,216,49.3
175,Gentoo,51.1,16.5,225,52.5
176,Chinstrap,45.5,17,196,35
177,Chinstrap,47.5,16.8,199,39
178,Gentoo,47.7,15,216,47.5
179,Adelie,38.5,17.9,190,33.3
180,Chinstrap,40.9,16.6,187,32
181,Adelie,41.1,18.1,205,43
182,Gentoo,44.9,13.8,212,47.5
183,Adelie,40.7,17,190,37.3
184,Adelie,35.7,18,202,35.5
185,Gentoo,48.6,16,230,58
186,Adelie,42.8,18.5,195,42.5
187,Gentoo,50.4,15.7,222,57.5
188,Chinstrap,42.5,17.3,187,33.5
189,Adelie,40.8,18.9,208,43
190,Adelie,38.1,16.5,198,38.3
191,Gentoo,49.3,15.7,217,58.5
192,Chinstrap,50.2,18.7,198,37.8
193,Chinstrap,45.6,19.4,194,35.3
194,Gentoo,49.2,15.2,221,63
195,Gentoo,55.1,16,230,58.5
196,Adelie,39.7,17.7,193,32
197,Chinstrap,49.6,18.2,193,37.8
198,Adelie,40.6,19,199,40
199,Adelie,37.6,19.1,194,37.5
200,Gentoo,47.5,14.2,209,46
201,Gentoo,47.5,14,212,48.8
202,Adelie,37.5,18.5,199,44.8
203,Adelie,39.5,17.8,188,33
204,Adelie,38.2,20,190,39
205,Adelie,39.6,17.7,186,35
206,Adelie,41.1,19.1,188,41
207,Gentoo,43.5,14.2,220,47
208,Gentoo,48.2,14.3,210,46
209,Adelie,44.1,19.7,196,44
210,Adelie,44.1,18,210,40
211,Gentoo,45.2,14.8,212,52
212,Gentoo,46.4,15,216,47
213,Adelie,32.1,15.5,188,30.5
214,Chinstrap,50.7,19.7,203,40.5
215,Adelie,36.9,18.6,189,35
216,Adelie,40.1,18.9,188,43
217,Adelie,42.7,18.3,196,40.8
218,Gentoo,51.5,16.3,230,55
219,Chinstrap,52.2,18.8,197,34.5
220,Gentoo,45.1,14.4,210,44
221,Adelie,39.6,17.2,196,35.5
222,Gentoo,49.1,14.5,212,46.3
223,Gentoo,45.5,13.9,210,42
224,Gentoo,46.2,14.1,217,43.8
225,Gentoo,47.4,14.6,212,47.3
226,Adelie,33.1,16.1,178,29
227,Chinstrap,55.8,19.8,207,40
228,Gentoo,42.9,13.1,215,50
229,Adelie,37.3,16.8,192,30
230,Adelie,39,17.1,191,30.5
231,Adelie,39.2,21.1,196,41.5
232,Adelie,37.2,19.4,184,39
233,Adelie,36.2,17.2,187,31.5
234,Gentoo,48.7,14.1,210,44.5
235,Gentoo,45.7,13.9,214,44
236,Gentoo,45.1,14.5,215,50
237,Adelie,39.6,20.7,191,39
238,Gentoo,43.3,13.4,209,44
239,Adelie,33.5,19,190,36
240,Gentoo,48.7,15.7,208,53.5
241,Adelie,36.6,17.8,185,37
242,Chinstrap,43.5,18.1,202,34
243,Adelie,40.6,17.2,187,34.8
244,Adelie,39.5,16.7,178,32.5
245,Gentoo,49.6,15,216,47.5
246,Gentoo,49.8,15.9,229,59.5
247,Chinstrap,46.7,17.9,195,33
248,Adelie,37.7,16,183,30.8
249,Gentoo,50,15.3,220,55.5
250,Gentoo,46.8,16.1,215,55
251,Chinstrap,50.9,17.9,196,36.8
252,Gentoo,50.7,15,223,55.5
253,Adelie,35.7,16.9,185,31.5
254,Adelie,39.5,17.4,186,38
255,Gentoo,52.1,17,230,55.5
256,Chinstrap,51.5,18.7,187,32.5
257,Chinstrap,49.8,17.3,198,36.8
258,Gentoo,50.2,14.3,218,57
259,Adelie,40.5,17.9,187,32
260,Adelie,40.2,17,176,34.5
261,Adelie,38.9,17.8,181,36.3
262,Chinstrap,50.8,19,210,41
263,Gentoo,48.2,15.6,221,51
264,Adelie,40.3,18.5,196,43.5
265,Adelie,40.2,17.1,193,34
266,Gentoo,46.5,14.4,217,49
267,Adelie,40.8,18.4,195,39
268,Gentoo,44.4,17.3,219,52.5
269,Adelie,39.2,18.6,190,42.5
270,Gentoo,43.8,13.9,208,43
271,Adelie,42.9,17.6,196,47
272,Adelie,35.5,16.2,195,33.5
273,Adelie,41.1,18.6,189,33.3
274,Adelie,36.5,18,182,31.5
275,Gentoo,42.8,14.2,209,47
276,Adelie,39.7,18.9,184,35.5
277,Gentoo,46.7,15.3,219,52
278,Chinstrap,50.6,19.4,193,38
279,Chinstrap,52.8,20,205,45.5
280,Chinstrap,46.8,16.5,189,36.5
281,Gentoo,48.5,15,219,48.5
282,Chinstrap,51,18.8,203,41
283,Adelie,36.2,16.1,187,35.5
284,Chinstrap,45.9,17.1,190,35.8
285,Chinstrap,50.8,18.5,201,44.5
286,Chinstrap,43.2,16.6,187,29
287,Adelie,38.7,19,195,34.5
288,Chinstrap,58,17.8,181,37
289,Adelie,37.3,20.5,199,37.8
290,Gentoo,46.2,14.5,209,48
291,Chinstrap,50.3,20,197,33
292,Adelie,35.7,17,189,33.5
293,Adelie,35.3,18.9,187,38
294,Gentoo,49.1,15,228,55
295,Gentoo,43.5,15.2,213,46.5
296,Gentoo,43.3,14,208,45.8
297,Gentoo,48.4,16.3,220,54
298,Adelie,37.9,18.6,193,29.3
299,Chinstrap,50,19.5,196,39
300,Adelie,40.6,18.8,193,38
301,Chinstrap,51.3,18.2,197,37.5
302,Gentoo,48.4,14.4,203,46.3
303,Gentoo,45.2,13.8,215,47.5
304,Adelie,38.2,18.1,185,39.5
305,Adelie,37.7,18.7,180,36
306,Chinstrap,49.5,19,200,38
307,Gentoo,50.8,15.7,226,52
308,Adelie,41.4,18.5,202,38.8
309,Chinstrap,48.1,16.4,199,33.3
310,Chinstrap,51.3,19.9,198,37
311,Adelie,38.8,20,190,39.5
312,Gentoo,52.5,15.6,221,54.5
313,Gentoo,48.4,14.6,213,58.5
314,Gentoo,47.5,15,218,49.5
315,Gentoo,47.8,15,215,56.5
316,Gentoo,46.9,14.6,222,48.8
317,Chinstrap,52.7,19.8,197,37.3
318,Adelie,36.5,16.6,181,28.5
319,Adelie,37.2,18.1,178,39
320,Gentoo,49.6,16,225,57
321,Chinstrap,49.2,18.2,195,44
322,Adelie,38.1,17,181,31.8
323,Gentoo,41.7,14.7,210,47
324,Adelie,38.1,17.6,187,34.3
325,Adelie,41.3,20.3,194,35.5
326,Adelie,37.8,18.1,193,37.5
327,Chinstrap,51.7,20.3,194,37.8
328,Adelie,42.2,19.5,197,42.8
329,Gentoo,45.5,13.7,214,46.5
330,Chinstrap,49.3,19.9,203,40.5
331,Adelie,35.1,19.4,193,42
332,Adelie,41.1,17.6,182,32
333,Gentoo,51.1,16.3,220,60
